Fecha;Recurso;Código Agente;Tipo de Generación;Combustible por defecto;Tipo de Despacho;Capacidad Efectiva Neta
2006-01-01;ALBAN;EPSG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;439000
2006-01-01;AMERICA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;410
2006-01-01;ASNAZU;CDIG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;450
2006-01-01;AYURA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;18000
2006-01-01;BARRANQUILLA 3;CRLG;TERMICA;GAS;DESPACHADO CENTRALMENTE;64000
2006-01-01;BARRANQUILLA 4;CRLG;TERMICA;GAS;DESPACHADO CENTRALMENTE;63000
2006-01-01;BAYONA;MCAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;600
2006-01-01;BELLO;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;350
2006-01-01;BELMONTE;EEPG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;3400
2006-01-01;BETANIA;CHBG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;540000
2006-01-01;CALICHAL;ESSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;200
2006-01-01;CALIMA;EPSG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;132000
2006-01-01;CAMPESTRE (CALARCA);MCAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;700
2006-01-01;CAMPESTRE (EPM);EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;870
2006-01-01;CARACOLI;EADG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;2600
2006-01-01;CARTAGENA 1;TRIG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;64000
2006-01-01;CARTAGENA 2;TRIG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;53000
2006-01-01;CARTAGENA 3;TRIG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;70000
2006-01-01;CASCADA;ESSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;3000
2006-01-01;CEMENTOS DEL NARE;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;4500
