Fecha;Recurso;Código Agente;Tipo de Generación;Combustible por defecto;Tipo de Despacho;Es Menor;Es Autogenerador;;Capacidad Efectiva Neta kW
2016-01-01;AGUA FRESCA;ADCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;7290
2016-01-01;ALBAN;EPSG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;429000
2016-01-01;ALTO TULUA;EPSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19900
2016-01-01;AMAIME;EPSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19170
2016-01-01;AMALFI;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;810
2016-01-01;AMERICA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;410
2016-01-01;AMOYA LA ESPERANZA;ISGG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;80000
2016-01-01;ASNAZU;GNCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;450
2016-01-01;AYURA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;18000
2016-01-01;BAJO TULUA;EPSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19900
2016-01-01;BARRANQUILLA 3;GECG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;NO;NO;;56000
2016-01-01;BARRANQUILLA 4;GECG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;NO;NO;;56000
2016-01-01;BARROSO;LCSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19900
2016-01-01;BAYONA;MCAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;600
2016-01-01;BELLO;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;350
2016-01-01;BELMONTE;EEPG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;3400
2016-01-01;BETANIA;ENDG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;540000
2016-01-01;CALDERAS;ISGG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19900
2016-01-01;CALIMA;EPSG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;132000
2016-01-01;CAMPESTRE (CALARCA);MCAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;700
2016-01-01;CAMPESTRE (EPM);EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;870
2016-01-01;CARACOLI;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;2600
2016-01-01;CARLOS LLERAS;HDPG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;78000
2016-01-01;CARTAGENA 1;ENDG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;NO;NO;;61000
2016-01-01;CARTAGENA 2;ENDG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;NO;NO;;60000
2016-01-01;CARTAGENA 3;ENDG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;NO;NO;;66000
2016-01-01;CARUQUIA;LCSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;9500
