Fecha,AGUA,CARBÓN,GAS,LÍQUIDOS,MEZCLAS,PESCASEZ,PBOLSA
1/01/2012,62.9,189.54,330.93,563.95,323.49,,42.67
2/01/2012,57.76,189.54,333.97,563.95,323.49,,55.99
3/01/2012,55.43,189.54,332.33,563.95,324,,60.2
4/01/2012,56.92,214.63,342.35,563.95,324,,57.77
5/01/2012,52.65,214.63,342.33,563.95,324.53,,57.98
6/01/2012,49.92,212.6,332.74,563.95,321.22,,50.48
7/01/2012,51.44,213.11,338.22,563.95,324.49,,52.12
8/01/2012,53.11,212.6,337.48,563.95,324.85,,46.38
9/01/2012,50.86,213.79,330.11,563.95,326.2,,50.92
10/01/2012,48.07,211.54,327.84,563.95,326.2,,58.11
11/01/2012,46.84,232.05,328.38,563.95,326.2,,57.33
12/01/2012,45.88,232.05,327.91,563.28,326.22,,56.66
13/01/2012,42.99,232.05,328.49,563.28,321.87,,50.8
14/01/2012,45.09,232.05,324.26,562.46,325.88,,51.48
15/01/2012,44.99,232.05,324.54,562.46,324.55,,45.1
16/01/2012,43.9,232.05,326.35,563.95,387.96,,53
17/01/2012,49.9,232.05,204.19,563.95,377.07,,69.93
18/01/2012,53.27,232.99,204.22,547.26,339.88,,98.14
19/01/2012,54.11,232.99,231.18,547.26,335.58,,90.62
20/01/2012,50.24,232.99,269.15,675.15,337.31,,41.71
21/01/2012,45.1,222.35,346.86,620.73,337.31,,45.18
22/01/2012,45,212.22,338.88,621.08,337.31,,49.97
23/01/2012,44.96,212.22,339.7,620.33,337.31,,52.74
24/01/2012,44.29,212.22,201.14,838.5,337.31,,51.87
25/01/2012,43.27,211.29,198.84,939.9,337.31,,61.4
26/01/2012,42.7,211.29,198.81,995.7,337.31,,60.42
27/01/2012,40.68,211.29,198.76,995.7,337.31,,51.41
28/01/2012,45.57,211.29,254.09,1000.07,337.31,,41.32
29/01/2012,45.17,211.29,197.34,1000.07,333.94,,40.85
30/01/2012,42.67,211.29,200.79,1000.07,333.94,,44.29
31/01/2012,39,211.29,200.01,995.59,333.94,,41.15
1/02/2012,38.89,211.29,199.08,993.6,332.42,,42.72
2/02/2012,39.6,211.29,204.97,993.6,332.53,,43.52
3/02/2012,40.56,211.29,220.11,993.6,332.53,,46.82
4/02/2012,39.32,210.92,227.19,993.6,328.76,,47.37
5/02/2012,42.32,212.8,229.12,993.6,328.76,,51.92
6/02/2012,39.62,212.69,229.12,994.1,328.76,,49.72
7/02/2012,38.83,196.6,231.29,994.1,353.78,,45.07
8/02/2012,38.12,212.69,231.29,994.1,339.63,,45.76
9/02/2012,37.92,207.95,287.95,994.1,350.88,,45.55
10/02/2012,38.49,207.46,287.95,1009.14,352.37,,44.41
11/02/2012,42.09,209.44,287.47,1009.14,352.49,,50.41
12/02/2012,51.47,209.09,256.88,1008.48,352.14,,57.65
13/02/2012,52.6,209.93,198.49,1006.01,352.08,,70.98
14/02/2012,59.05,207.01,282.69,1008.48,352.2,,77.58
15/02/2012,62.53,207.01,285.22,1008.48,352.2,,79.51
16/02/2012,63.21,207.01,285.22,1008.48,438.14,,81.02
17/02/2012,65.7,207.01,285.22,1008.48,438.14,,81.61
18/02/2012,69.53,210.91,285.09,1008.48,438.14,,82.5
19/02/2012,81.64,206.99,285.79,1008.48,354.84,,82.53
20/02/2012,68.17,188.82,285.79,1008.48,354.2,,82.24
21/02/2012,75.04,188.1,285.77,1008.48,354.2,,112.22
22/02/2012,83.19,197.1,282.88,1008.48,355.61,,124.19
23/02/2012,83.83,197.1,278.25,1008.48,437.67,,114.54
24/02/2012,82.42,197.1,286.56,1008.48,343.98,,105.29
25/02/2012,91.46,198.09,275.93,1008.48,758.4,,116.57
26/02/2012,93.16,200.02,230.77,1006.01,417.66,,103.17
27/02/2012,97.71,200.02,274.79,1008.48,710.12,,135.36
28/02/2012,100.12,200.02,277.04,1007.61,755.39,,140.09
29/02/2012,109.22,200.02,220.53,1052.43,667.95,,134
1/03/2012,113.78,200.02,193.13,1051.5,428.47,,135.33
2/03/2012,111.93,196.64,245.9,1006.8,427.92,,130.11
3/03/2012,109.69,194.4,198.02,1006.8,415.54,,125.14
4/03/2012,111.37,194.87,198.02,1010.29,415.68,,128.7
5/03/2012,120.05,187.82,193.29,1039.38,753.93,,144.12
6/03/2012,114.72,188.04,219.32,1053.44,754.98,,142.27
7/03/2012,107.13,188.41,219.85,1053.44,755.28,,143.26
8/03/2012,111.47,178.99,179.48,1038.73,756.78,,139.91
9/03/2012,108.23,199.08,181.67,1053.44,756.78,,140.41
10/03/2012,118.55,199.1,186.08,1053.44,756.86,,136.22
11/03/2012,120.97,199,188.59,1053.44,756.86,,134.42
12/03/2012,120.7,192.9,182.11,1053.44,756.86,,138.92
13/03/2012,110.14,192.67,183.97,1053.44,756.86,,135.94
14/03/2012,103.62,197.54,224.87,1087.33,402.35,,133.98
15/03/2012,106.98,204.52,224.78,1087.33,320.68,,139.68
16/03/2012,104.24,204.52,264.12,974.82,313.02,,138.1
17/03/2012,101.12,203.84,260.43,974.82,311.92,,132.91
18/03/2012,113.1,203.06,163.01,974.82,354.77,,130.18
19/03/2012,109.11,167.62,158.04,974.82,337.36,,128.44
20/03/2012,87.69,167.62,163,974.82,336.75,,127.41
21/03/2012,100.39,160.08,163.8,974.82,330.47,,123.16
22/03/2012,96.28,151.34,155.61,974.82,330.47,,111.92
23/03/2012,90.37,151.05,186.03,981.23,330.47,,104.59
24/03/2012,85.41,151.05,183.83,1087.33,330.47,,96.56
25/03/2012,77.96,151.05,183.71,1087.33,331.76,,95.64
26/03/2012,68.79,151.05,183.52,1087.33,331.79,,85.34
27/03/2012,67.99,142.58,190.91,977.63,332.9,,83.34
28/03/2012,64.23,143.54,190.91,977.63,332.15,,73.26
29/03/2012,57.8,143.54,190.91,977.63,332.15,,69.57
30/03/2012,58.43,142.85,190.92,974.65,350.32,,86.1
31/03/2012,54.15,142.85,190.06,974.65,349.17,,69.78
1/04/2012,50.93,143.54,190.26,954.74,367.71,,59.76
2/04/2012,54.39,143.54,190.26,954.74,368.77,,71.63
3/04/2012,53.62,146.73,191.87,954.74,369.67,,69.79
4/04/2012,57.64,146.73,194.29,954.74,371.62,,63.4
5/04/2012,52.04,169.03,332.63,763.12,370.6,,42.73
6/04/2012,52.71,169.03,332.63,764.74,370.6,,40.08
7/04/2012,51.48,169.03,346.55,764.74,370.6,,50.81
8/04/2012,48.85,169.03,346.55,764.74,370.6,,39.53
9/04/2012,47.96,164.02,346.57,764.94,370.6,,52.45
10/04/2012,46.58,164.04,346.51,764.94,371.26,,48.28
11/04/2012,45.16,138.36,346.51,764.94,371.26,,42.3
12/04/2012,47.84,161.5,346.24,764.94,370.62,,51.73
13/04/2012,51.96,161.5,346.24,765.02,370.62,,56.57
14/04/2012,46.16,161.5,345.69,765.02,334.43,,48.4
15/04/2012,45.37,161.49,345.69,765.02,334.43,,46.31
16/04/2012,46.36,161.49,345.69,765.02,334.43,,62.54
17/04/2012,43.98,161.49,345.71,759.6,353.12,,60.15
